N,n,censored,tau_abs_km,tau_abs_mle,tau_abs_mle_lo,tau_abs_mle_hi,tau_reduced,prolongation,prolongation_mle,plateau_ratio_vs_N64,reduced_per_N
4,200,0,126.7000,139.0625,121.0703,160.5424,42.6500,2.9707,3.2606,0.9984,12.2000
8,200,0,143.3000,152.4930,132.7631,176.0474,42.6500,3.3599,3.5755,1.1292,41.6500
16,200,0,132.6000,143.3045,124.7634,165.4396,42.6500,3.1090,3.3600,1.0449,42.0500
24,200,0,125.9000,131.2280,114.2494,151.4977,42.6500,2.9519,3.0769,0.9921,43.2500
32,200,0,130.2000,136.1220,118.5102,157.1477,42.6500,3.0528,3.1916,1.0260,43.0500
48,200,0,125.2000,136.4155,118.7657,157.4865,42.6500,2.9355,3.1985,0.9866,64.0000
64,200,0,126.9000,135.1330,117.6492,156.0059,42.6500,2.9754,3.1684,1.0000,64.0000
256,200,0,125.9000,134.1855,116.8243,154.9120,42.6500,2.9519,3.1462,0.9921,nan
512,200,0,124.3000,130.0720,113.2430,150.1632,42.6500,2.9144,3.0498,0.9795,nan
1024,200,0,122.9000,135.4850,117.9556,156.4123,42.6500,2.8816,3.1767,0.9685,nan
