A,N,n,n_uncensored,n_censored,spearman_rho,p_value,d0_median
0.5,4,200,200,0,-0.08148601232552577,0.2513520115710643,0.6297133385844678
0.5,8,200,200,0,-0.04130529595449994,0.561421382305248,0.3543161252370084
0.5,16,200,200,0,-0.03911133045063846,0.582414560484303,0.16874629571668076
0.5,24,200,200,0,0.07222876617900663,0.30944152071946,0.12320633425672682
0.5,32,200,200,0,-0.0493507983823021,0.4876984735547212,0.08715815688723089
0.5,48,200,200,0,-0.07235909010163348,0.30856709172801255,0.05950203036998443
0.5,64,200,200,0,-0.024087177358523334,0.7349426616670895,0.039705121220686215
0.2,4,100,99,1,0.06939161745168906,0.4949275771690188,0.7331451375264493
0.2,8,100,96,4,-0.1484867806484836,0.1487877820664665,0.3231505763741
0.2,16,100,100,0,-0.006937026687942453,0.9453884755661781,0.15294374336658387
0.2,24,100,100,0,-0.1378095690803747,0.17153032345296237,0.1193824790098287
0.2,32,100,100,0,-0.015230756816957413,0.8804479426613291,0.09929666994430153
0.2,48,100,100,0,-0.008467862990840016,0.9333621449292291,0.05699255972180574
0.2,64,100,100,0,-0.010130259124432184,0.9203193013372,0.03974809332042628
